name,country,DOB,age,bio,picture,rank
Joachim Meisner, Germany,12/25/1933,79,Archbishop of Cologne,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Duraisamy Simon Lourdusamy, India,2/5/1924,89,Prefect Emeritus of the Congregation for the Oriental Churches,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Miguel Obando y Bravo, Nicaragua,2/2/1926,87,Archbishop Emeritus of Managua,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Ricardo Vidal, Philippines,2/6/1931,82,Archbishop Emeritus of Cebu,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Henryk Gulbinowicz, Poland,10/17/1923,89,Archbishop Emeritus of Wrocław,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jozef Tomko, Slovakia,3/11/1924,88,President Emeritus of the Pontifical Committee for International Eucharistic Congresses,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Paul Poupard, France,8/30/1930,82,President Emeritus of the Pontifical Council for Culture,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Friedrich Wetter, Germany,2/20/1928,85,Archbishop Emeritus of Munich and Freising,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Silvano Piovanelli, Italy,2/21/1924,89,Archbishop Emeritus of Florence,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Adrianus Johannes Simonis, Netherlands,11/26/1931,81,Archbishop Emeritus of Utrecht,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Bernard Francis Law, United States,11/4/1931,81,Archpriest Emeritus of the Basilica of St. Mary Major,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Giacomo Biffi, Italy,6/13/1928,84,Archbishop Emeritus of Bologna,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Eduardo Martínez Somalo, Spain,3/31/1927,85,Camerlengo Emeritus of the Holy Roman Church,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Achille Silvestrini, Italy,10/25/1923,89,Prefect Emeritus of the Congregation for the Oriental Churches,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
José Freire Falcão, Brazil,10/23/1925,87,Archbishop Emeritus of Brasília,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Alexandre José Maria dos Santos, Mozambique,3/18/1924,88,Archbishop Emeritus of Maputo,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Giovanni Canestri, Italy,9/30/1918,94,Archbishop Emeritus of Genoa,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Simon Pimenta, India,3/1/1920,93,Archbishop Emeritus of Bombay,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Edward Bede Clancy, Australia,12/13/1923,89,Archbishop Emeritus of Sydney,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Edmund Casimir Szoka, United States,9/14/1927,85,President Emeritus of the Governorate of Vatican City,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
László Paskai, Hungary,5/8/1927,85,Archbishop Emeritus of Esztergom-Budapest,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Christian Wiyghan Tumi, Cameroon,10/15/1930,82,Archbishop Emeritus of Douala,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Edward Idris Cassidy, Australia,7/5/1924,88,President Emeritus of the Pontifical Council for Promoting Christian Unity,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Nicolás de Jesús López Rodríguez, Dominican Republic,10/31/1936,76,Archbishop of Santo Domingo,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Fiorenzo Angelini, Italy,8/1/1916,96,President Emeritus of the Pontifical Council for the Pastoral Care of Health Care Workers,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Roger Mahony, United States,2/27/1936,77,Archbishop Emeritus of Los Angeles,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Camillo Ruini, Italy,2/19/1931,82,Vicar General Emeritus for the Diocese of Rome,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Ján Chryzostom Korec, Slovakia,1/22/1924,89,Bishop Emeritus of Nitra,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Henri Schwery, Switzerland,6/14/1932,80,Bishop Emeritus of Sion,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Miloslav Vlk, Czech Republic,5/17/1932,80,Archbishop Emeritus of Prague,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Carlo Furno, Italy,12/2/1921,91,Grand Master Emeritus of the Order of the Holy Sepulchre and Archpriest Emeritus of the Basilica of St. Mary Major,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Julius Riyadi Darmaatmadja, Indonesia,12/20/1934,78,Archbishop Emeritus of Jakarta,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jaime Lucas Ortega y Alamino, Cuba,10/18/1936,76,Archbishop of San Cristóbal de la Habana,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Gilberto Agustoni, Switzerland,7/26/1922,90,Prefect Emeritus of the Supreme Tribunal of the Apostolic Signatura,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Emmanuel Wamala, Uganda,12/15/1926,86,Archbishop Emeritus of Kampala,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
William Henry Keeler, United States,3/4/1931,82,Archbishop Emeritus of Baltimore,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jean-Claude Turcotte, Canada,6/26/1936,76,Archbishop Emeritus of Montreal,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Ricardo María Carles Gordó, Spain,9/24/1926,86,Archbishop Emeritus of Barcelona,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Adam Joseph Maida, United States,3/18/1930,82,Archbishop Emeritus of Detroit,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Vinko Puljić, Bosnia and Herzegovina,9/8/1945,67,Archbishop of Vrhbosna (Sarajevo),http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Juan Sandoval Íñiguez, Mexico,3/28/1933,79,Archbishop Emeritus of Guadalajara,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Ersilio Tonini, Italy,7/20/1914,98,Archbishop Emeritus of Ravenna,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jorge Medina Estévez, Chile,12/23/1926,86,Prefect Emeritus of the Congregation for Divine Worship and the Discipline of the Sacraments,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Darío Castrillón Hoyos, Colombia,7/4/1929,83,President Emeritus of the Pontifical Commission Ecclesia Dei and Prefect Emeritus of the Congregation for the Clergy,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Lorenzo Antonetti, Italy,7/31/1922,90,President Emeritus of the Administration of the Patrimony of the Apostolic See,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
James Francis Stafford, United States,7/26/1932,80,Major Penitentiary Emeritus,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Salvatore De Giorgi, Italy,9/6/1930,82,Archbishop Emeritus of Palermo,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Serafim Fernandes de Araújo, Brazil,8/13/1924,88,Archbishop Emeritus of Belo Horizonte,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Antonio María Rouco Varela, Spain,8/24/1936,76,Archbishop of Madrid,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Dionigi Tettamanzi, Italy,3/14/1934,78,Archbishop Emeritus of Milan,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Polycarp Pengo, Tanzania,8/5/1944,68,Archbishop of Dar-es-Salaam,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
"Christoph Schönborn, OP", Austria,1/22/1945,68,Archbishop of Vienna,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Norberto Rivera Carrera, Mexico,6/6/1942,70,Archbishop of Mexico,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Francis Eugene George, United States,1/16/1937,76,Archbishop of Chicago,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Marian Jaworski, Ukraine,8/21/1926,86,Archbishop Emeritus of Lviv,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jānis Pujāts, Latvia,11/14/1930,82,Archbishop Emeritus of Riga,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Agostino Cacciavillan, Italy,8/14/1926,86,President Emeritus of the Administration of the Patrimony of the Apostolic See,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Sergio Sebastiani, Italy,4/11/1931,81,President Emeritus of the Prefecture for the Economic Affairs of the Holy See,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Zenon Grocholewski, Poland,10/11/1939,73,Prefect of the Congregation for Catholic Education,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Crescenzio Sepe, Italy,6/2/1943,66,Archbishop of Naples,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jorge María Mejía, Argentina,1/31/1923,90,Librarian and Archivist Emeritus of the Holy Roman Church,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Walter Kasper, Germany,3/5/1933,80,President Emeritus of the Pontifical Council for Promoting Christian Unity,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Ivan Dias, India,4/14/1936,76,Prefect Emeritus of the Congregation for the Evangelization of Peoples,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Geraldo Majella Agnelo, Brazil,10/19/1933,79,Archbishop Emeritus of São Salvador da Bahia,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Pedro Rubiano Sáenz, Colombia,9/13/1932,80,Archbishop Emeritus of Bogotá,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Theodore Edgar McCarrick, United States,7/7/1930,82,Archbishop Emeritus of Washington,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Desmond Connell, Ireland,3/24/1926,86,Archbishop Emeritus of Dublin,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Audrys Juozas Bačkis, Lithuania,2/1/1937,76,Archbishop of Vilnius,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Francisco Javier Errázuriz Ossa, Chile,9/5/1933,79,Archbishop Emeritus of Santiago de Chile,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Julio Terrazas Sandoval, Bolivia,3/7/1936,76,Archbishop of Santa Cruz de la Sierra,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Wilfrid Fox Napier, South Africa,3/8/1941,71,Archbishop of Durban,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
"Oscar Andrés Rodríguez Maradiaga, SDB", Honduras,12/29/1942,70,Archbishop of Tegucigalpa,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Bernard Agré, Côte d'Ivoire,3/2/1926,87,Archbishop Emeritus of Abidjan,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Juan Luis Cipriani Thorne, Peru,12/28/1943,69,Archbishop of Lima,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Francisco Álvarez Martínez, Spain,7/14/1925,87,Archbishop Emeritus of Toledo,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Cláudio Hummes, Brazil,8/8/1934,78,Prefect Emeritus of the Congregation for the Clergy,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
"Jorge Mario Bergoglio, SJ", Argentina,12/17/1936,76,Archbishop of Buenos Aires,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
José IV Policarpo, Portugal,2/26/1936,77,Patriarch of Lisbon,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Severino Poletto, Italy,3/18/1933,79,Archbishop Emeritus of Turin,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Cormac Murphy-O'Connor, United Kingdom,8/24/1932,80,Archbishop Emeritus of Westminster,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Edward Michael Egan, United States,4/2/1932,80,Archbishop Emeritus of New York,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Lubomyr Husar, Ukraine,2/26/1933,80,Major Archbishop Emeritus of Kyiv-Halych (Ukrainian Greek Catholic Church),http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Karl Lehmann, Germany,5/16/1936,76,Bishop of Mainz,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
"Roberto Tucci, SJ", Italy,4/19/1921,91,President Emeritus of the Administrative Committee of Radio Vatican,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Angelo Scola, Italy,11/7/1941,71,Archbishop of Milan,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Anthony Olubumni Okogie, Nigeria,6/16/1936,76,Archbishop Emeritus of Lagos,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Bernard Panafieu, France,1/26/1931,82,Archbishop Emeritus of Marseille,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Gabriel Zubeir Wako, Sudan,2/27/1939,74,Archbishop of Khartoum,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Carlos Amigo Vallejo, Spain,8/23/1934,78,Archbishop Emeritus of Seville,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Justin Francis Rigali, United States,4/19/1935,77,Archbishop Emeritus of Philadelphia,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Keith O'Brien, United Kingdom,3/17/1938,74,Archbishop Emeritus of Saint Andrews and Edinburgh,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Eusebio Oscar Scheid, Brazil,12/8/1932,80,Archbishop Emeritus of São Sebastião do Rio de Janeiro,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Ennio Antonelli, Italy,11/18/1936,76,President Emeritus of the Pontifical Council for the Family,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Peter Kodwo Appiah Turkson, Ghana,10/11/1948,64,President of the Pontifical Council for Justice and Peace,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Telesphore Placidus Toppo, India,10/13/1939,73,Archbishop of Ranchi,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
George Pell, Australia,4/8/1941,71,Archbishop of Sydney,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Josip Bozanić, Croatia,3/20/1949,63,Archbishop of Zagreb,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jean-Baptiste Phạm Minh Mẫn, Vietnam,5 March 1934[8],79,Archbishop of Ho Chi Minh City,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Philippe Barbarin, France,10/17/1950,62,Archbishop of Lyon,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Péter Erdő, Hungary,6/25/1952,60,Archbishop of Esztergom-Budapest,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Marc Ouellet, Canada,6/8/1944,68,Prefect of the Congregation for Bishops,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Agostino Vallini, Italy,4/17/1940,72,Vicar General of Rome,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jorge Urosa, Venezuela,8/28/1942,70,Archbishop of Caracas,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Gaudencio Borbon Rosales, Philippines,8/10/1932,80,Archbishop Emeritus of Manila,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Jean-Pierre Ricard, France,9/25/1944,68,Archbishop of Bordeaux,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Antonio Cañizares Llovera, Spain,10/15/1945,67,Prefect of the Congregation for Divine Worship and the Discipline of the Sacraments,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Nicolas Cheong Jin-suk, South Korea,12/7/1931,80,Archbishop Emeritus of Seoul,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Seán Patrick O'Malley, United States,6/29/1944,68,Archbishop of Boston,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Stanisław Dziwisz, Poland,4/27/1939,73,Archbishop of Kraków,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Carlo Caffarra, Italy,6/1/1938,74,Archbishop of Bologna,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Joseph Zen Ze-Kiun, Hong Kong[9],1/13/1932,81,Bishop Emeritus of Hong Kong,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Seán Brady, Ireland,8/16/1939,73,Archbishop of Armagh,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Lluís Martínez Sistach, Spain,4/29/1937,75,Archbishop of Barcelona,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
André Armand Vingt-Trois, France,11/7/1942,70,Archbishop of Paris,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Angelo Bagnasco, Italy,1/14/1943,70,Archbishop of Genoa,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Théodore-Adrien Sarr, Senegal,11/28/1936,76,Archbishop of Dakar,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Oswald Gracias, India,12/24/1944,68,Archbishop of Bombay,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Francisco Robles Ortega, Mexico,3/2/1949,64,Archbishop of Guadalajara,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Daniel DiNardo, United States,5/23/1949,63,Archbishop of Galveston-Houston,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Odilo Pedro Scherer, Brazil,9/21/1949,63,Archbishop of São Paulo,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
John Njue, Kenya,1944[10],68 or 69,Archbishop of Nairobi,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Estanislao Esteban Karlic, Argentina,2/7/1926,87,Archbishop Emeritus of Paraná,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Medardo Joseph Mazombwe, Zambia,9/24/1931,81,Archbishop Emeritus of Lusaka,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
Raúl Eduardo Vela Chiriboga, Ecuador,1/1/1934,79,Archbishop Emeritus of Quito,http://th03.deviantart.net/fs51/200H/f/2009/265/1/f/Pope_deezy_by_bluemarker3.jpg,
